"SECTOR_OID","SECTOR","BUSINSS_ACT_ID","ACTIVITY_TITLE"
"1000228","Alcoholic drink retail","1157","Sell cigarettes and other tobacco products"
"1000229","Food, drink and tobacco retail not in stores, stalls or markets","1029","Operate an egg packing centre"
"1000230","Tobacco and tobacco products retail","1157","Sell cigarettes and other tobacco products"
"1000230","Tobacco and tobacco products retail","1002","Use CCTV systems"
"1000233","Childrens clothing and baby goods retail","1000","Play background music in your premises"
"1000233","Childrens clothing and baby goods retail","1004","Park vehicles in a controlled parking zone (if your premises is located in a controlled parking zone)"
"1000234","Footwear retail","241","Put an advertising board on the pavement or verge"
"1000235","Leather products retail","1000","Play background music in your premises"
"1000235","Leather products retail","287","Put a display stand or barrow on the pavement"
"1000235","Leather products retail","241","Put an advertising board on the pavement or verge"
"1000235","Leather products retail","162","Run a market stall"
"1000238","Furniture retail","241","Put an advertising board on the pavement or verge"
"1000239","Furniture repair and restoration","1091","Distribute free printed material"
"1000239","Furniture repair and restoration","1002","Use CCTV systems"
"1000240","Home furnishings retail","337","Employ young people aged 13 - 16"
"1000240","Home furnishings retail","1004","Park vehicles in a controlled parking zone (if your premises is located in a controlled parking zone)"
"1000241","Electric lighting equipment retail","239","Open a large shop on Sundays"
"1000241","Electric lighting equipment retail","1002","Use CCTV systems"
"1000242","Picture framing services","1091","Distribute free printed material"
"1000242","Picture framing services","1002","Use CCTV systems"
"1000423","Catering services","280","Handle more than 50 tonnes of packaging in a year"
"1000423","Catering services","1058","Hold an ad hoc event"
"1000423","Catering services","1004","Park vehicles in a controlled parking zone (if your premises is located in a controlled parking zone)"
"1000426","Doctor services","1002","Use CCTV systems"
"1000427","Nurse services","1002","Use CCTV systems"
"1000432","Optician services","167","Offer treatments involving lasers or intense pulsed light systems"
"1000432","Optician services","1001","Process personal information about any individuals including customers, employees etc"
"1000434","Physiotherapy","1002","Use CCTV systems"
"1000435","Psychotherapy","1002","Use CCTV systems"
"1000435","Psychotherapy","1001","Process personal information about any individuals including customers, employees etc"
"1000437","Veterinary services","398","Kill or take wild birds or animals - e.g. for scientific or conservation reasons, etc."
"1000437","Veterinary services","120","Shoe horses and similar animals"
"1000437","Veterinary services","109","Manufacture, supply or market medicinal products"
"1000440","Hospitals","365","Practise as an orthoptist "
"1000440","Hospitals","253","Use or provide for use a television or other device to receive or record broadcast programmes"
"1000440","Hospitals","236","Offer acupuncture services"
"1000440","Hospitals","1044","Offer adult placement or day care services"
"1000440","Hospitals","1000","Play background music in your premises"
"1000442","Acupuncture","241","Put an advertising board on the pavement or verge"
"1000443","Reflexology","166","Offer special treatments such as massage, beauty treatments etc at your premises"
"1000445","Hypnotherapy","241","Put an advertising board on the pavement or verge"
"1000445","Hypnotherapy","1000","Play background music in your premises"
"1000447","Chiropractic","1000","Play background music in your premises"
"1000448","Osteopathy","166","Offer special treatments such as massage, beauty treatments etc at your premises"
"1000448","Osteopathy","1000","Play background music in your premises"
"1000450","Nursing homes","295","Offer care services"
"1000450","Nursing homes","31","Exhibit films, videos or DVDs"
"1000451","Childrens homes","296","Run a residential family centre"
"1000451","Childrens homes","63","Prepare, store or sell foodstuffs"
"1000452","Retirement homes","1000","Play background music in your premises"
"1000453","Childrens day care centres","1080","Offer fostering or adoption services"
"1000453","Childrens day care centres","279","Run a day nursery"
"1000453","Childrens day care centres","253","Use or provide for use a television or other device to receive or record broadcast programmes"
"1000454","Nanny services","337","Employ young people aged 13 - 16"
"1000454","Nanny services","1056","Carry out criminal record checks"
"1000460","Massage","166","Offer special treatments such as massage, beauty treatments etc at your premises"
"1000462","Tattoo parlours","241","Put an advertising board on the pavement or verge"
"1000462","Tattoo parlours","234","Offer ear, nose or body piercing"
"1000462","Tattoo parlours","1001","Process personal information about any individuals including customers, employees etc"
"1000462","Tattoo parlours","1000","Play background music in your premises"
"1000463","Tanning salons","241","Put an advertising board on the pavement or verge"
"1000471","Party planning","200","Offer alcohol and entertainment in club premises"
"1000471","Party planning","31","Exhibit films, videos or DVDs"
"1000475","Primary education","265","Use radio or television recordings for educational purposes"
"1000475","Primary education","131","Run a school"
"1000475","Primary education","1058","Hold an ad hoc event"
"1000476","Secondary education","391","Make video or audio recordings of carol services etc"
"1000476","Secondary education","390","Project hymn or worship song words"
"1000476","Secondary education","265","Use radio or television recordings for educational purposes"
"1000476","Secondary education","1022","Carry out school inspections"
"1000476","Secondary education","1001","Process personal information about any individuals including customers, employees etc"
"1000479","Technical and vocational training","1069","Provide formal educational courses"
"1000480","Language instruction","188","Make copies of extracts from books, magazines or journals for business use"
"1000480","Language instruction","1069","Provide formal educational courses"
"1000481","Fine art instruction","390","Project hymn or worship song words"
"1000481","Fine art instruction","241","Put an advertising board on the pavement or verge"
"1000484","Personal development instruction","1069","Provide formal educational courses"
"1000487","Artists and artists companies","394","Use a piece of artwork in a book, magazine, website, advertisement, or on a greeting card or textile"
"1000487","Artists and artists companies","318","Carry out paint spraying"
"1000487","Artists and artists companies","307","Employ child actors, performers or models"
"1000487","Artists and artists companies","1051","Perform hypnotism"
"1000488","Arts and entertainment agencies","266","Make copies of newspaper cuttings for business use"
"1000489","Arts and entertainment facility operation","1110","Use premises as a cinema"
"1000489","Arts and entertainment facility operation","394","Use a piece of artwork in a book, magazine, website, advertisement, or on a greeting card or textile"
"1000489","Arts and entertainment facility operation","1001","Process personal information about any individuals including customers, employees etc"
"1000489","Arts and entertainment facility operation","1000","Play background music in your premises"
"1000490","Ticket agencies","394","Use a piece of artwork in a book, magazine, website, advertisement, or on a greeting card or textile"
"1000493","Museums and gallery operation","1110","Use premises as a cinema"
"1000499","Fitness centre operation","401","Holding indoor or outdoor events where an entrance fee is payable"
"1000499","Fitness centre operation","289","Offer special treatments such as chiropody at your premises"
"1000499","Fitness centre operation","1001","Process personal information about any individuals including customers, employees etc"
"1000501","Racehorse owning and training","195","Discharge rain water, cooling water or treated liquid effluent directly to controlled waters"
"1000505","Bingo hall operation","400","Operate as a bookmaker"
"1000505","Bingo hall operation","1002","Use CCTV systems"
"1000505","Bingo hall operation","1001","Process personal information about any individuals including customers, employees etc"
"1079055372","Interior design services","241","Put an advertising board on the pavement or verge"
"1079055372","Interior design services","1001","Process personal information about any individuals including customers, employees etc"
"1079055376","Photographic services","1052","Carry out diving activities"
"1000040","Plastering","228","Erect scaffolding or hoardings"
"1000040","Plastering","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1000049","Architectural services","1091","Distribute free printed material"
"1000049","Architectural services","1055","Carry out work, or place materials, apparatus or obstacles in the road or on a pavement"
"1000049","Architectural services","1001","Process personal information about any individuals including customers, employees etc"
"1000067","Soft drink manufacturing","1062","Monitor, assess or report on energy consumption or levels of emissions and pollution"
"1000078","Paper and paper stationery manufacturing","194","Operate a large industrial site"
"1000081","Printing","394","Use a piece of artwork in a book, magazine, website, advertisement, or on a greeting card or textile"
"1000081","Printing","40","Discharge trade effluent"
"1000081","Printing","1002","Use CCTV systems"
"1000086","Explosives manufacturing","48","Manufacture, transport or store explosives"
"1000086","Explosives manufacturing","1045","Produce, store or dispose of ozone-depleting substances"
"1000086","Explosives manufacturing","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1080395669","Retail trade in stalls and markets","1091","Distribute free printed material"
"1000146","Metal and metal ores wholesale agents","215","Accumulate or dispose of radioactive wastes"
"1000146","Metal and metal ores wholesale agents","70","Operate a goods vehicle"
"1000146","Metal and metal ores wholesale agents","1062","Monitor, assess or report on energy consumption or levels of emissions and pollution"
"1000148","Petroleum and fuel products wholesale","35","Process, store or dispose of dangerous or harmful substances"
"1000152","Dairy products and egg wholesale","70","Operate a goods vehicle"
"1000152","Dairy products and egg wholesale","1002","Use CCTV systems"
"1000159","Alcoholic drink wholesale","335","Import wine from outside the EC"
"1000159","Alcoholic drink wholesale","332","Brew beer"
"1000217","Camping and outdoor equipment wholesale","280","Handle more than 50 tonnes of packaging in a year"
"1000227","Delicatessens","1002","Use CCTV systems"
"1000319","Securities broking","266","Make copies of newspaper cuttings for business use"
"1000321","Independent financial advice","1001","Process personal information about any individuals including customers, employees etc"
"1000371","Computer training","188","Make copies of extracts from books, magazines or journals for business use"
"1000405","Newspaper publishing","394","Use a piece of artwork in a book, magazine, website, advertisement, or on a greeting card or textile"
"1000415","Licensed nightclubs","45","Employ door supervisors"
"1000421","Take-away food stalls","240","Put tables or chairs on the pavement"
"1000421","Take-away food stalls","162","Run a market stall"
"1000421","Take-away food stalls","63","Prepare, store or sell foodstuffs"
"1000428","Dentistry","1002","Use CCTV systems"
"1000461","Saunas and steam rooms","1001","Process personal information about any individuals including customers, employees etc"
"1000464","Slimming centres","1001","Process personal information about any individuals including customers, employees etc"
"1000477","Adult and other education","188","Make copies of extracts from books, magazines or journals for business use"
"1000492","Theme park operation","1133","Offer amusements with prizes"
"1000496","Sports clubs","401","Holding indoor or outdoor events where an entrance fee is payable"
"1000496","Sports clubs","253","Use or provide for use a television or other device to receive or record broadcast programmes"
"1000496","Sports clubs","197","Possess a shotgun or other firearm"
"1000503","Casino operation","209","Use a venue for public entertainment - including dancing, live music, karaoke etc"
"1000503","Casino operation","45","Employ door supervisors"
"1000503","Casino operation","28","Operate a casino"
"1000503","Casino operation","8","Supply or operate gaming machines"
"1079032255","Other food retail","239","Open a large shop on Sundays"
"1000244","Building materials and supplies retail","1091","Distribute free printed material"
"1000244","Building materials and supplies retail","1000","Play background music in your premises"
"1000244","Building materials and supplies retail","1004","Park vehicles in a controlled parking zone (if your premises is located in a controlled parking zone)"
"1000245","Garden equipment and supplies retail","337","Employ young people aged 13 - 16"
"1000245","Garden equipment and supplies retail","1004","Park vehicles in a controlled parking zone (if your premises is located in a controlled parking zone)"
"1000248","Electric appliance retail","314","Sell new televisions, video recorders or other TV receiving equipment"
"1000248","Electric appliance retail","70","Operate a goods vehicle"
"1000249","Electric appliance repair","239","Open a large shop on Sundays"
"1000249","Electric appliance repair","1003","Offer credit to your customers"
"1000250","Audio-visual equipment retail","1172","Make copies of a musical work onto any recorded media, eg CDs, DVDs or karaoke products"
"1000250","Audio-visual equipment retail","239","Open a large shop on Sundays"
"1000250","Audio-visual equipment retail","1001","Process personal information about any individuals including customers, employees etc"
"1000252","Audio-visual equipment hire","241","Put an advertising board on the pavement or verge"
"1000252","Audio-visual equipment hire","1004","Park vehicles in a controlled parking zone (if your premises is located in a controlled parking zone)"
"1000253","Computers and electronic office equipment retail","314","Sell new televisions, video recorders or other TV receiving equipment"
"1000253","Computers and electronic office equipment retail","253","Use or provide for use a television or other device to receive or record broadcast programmes"
"1000255","Telecommunication equipment retail","1001","Process personal information about any individuals including customers, employees etc"
"1000258","Used motor vehicle retail","285","Carry out MOT testing"
"1000258","Used motor vehicle retail","241","Put an advertising board on the pavement or verge"
"1000258","Used motor vehicle retail","239","Open a large shop on Sundays"
"1000258","Used motor vehicle retail","232","Deal in secondhand goods"
"1000258","Used motor vehicle retail","1002","Use CCTV systems"
"1000259","Motor vehicle parts and accessories retail","1000","Play background music in your premises"
"1000260","Motor vehicle maintenance and repair","1061","Process, store or dispose of dangerous or harmful substances"
"1000261","Motor vehicle hire","70","Operate a goods vehicle"
"1000262","Motor vehicle fuel retail","40","Discharge trade effluent"
"1000265","Beauty and toilet products retail","1002","Use CCTV systems"
"1000269","Books, newspapers and magazines retail","188","Make copies of extracts from books, magazines or journals for business use"
"1000270","Stationery retail","241","Put an advertising board on the pavement or verge"
"1000270","Stationery retail","1004","Park vehicles in a controlled parking zone (if your premises is located in a controlled parking zone)"
"1000271","Greeting card, gift and party goods retail","337","Employ young people aged 13 - 16"
"1000271","Greeting card, gift and party goods retail","162","Run a market stall"
"1000272","Flower retail","239","Open a large shop on Sundays"
"1000274","Jewellery, watches and clocks retail and repair","1000","Play background music in your premises"
"1000277","Bicycle and bicycle parts retail","239","Open a large shop on Sundays"
"1000277","Bicycle and bicycle parts retail","1004","Park vehicles in a controlled parking zone (if your premises is located in a controlled parking zone)"
"1000277","Bicycle and bicycle parts retail","1002","Use CCTV systems"
"1000278","Sports equipment retail","337","Employ young people aged 13 - 16"
"1000278","Sports equipment retail","198","Manufacture, sell, repair or test shotguns, firearms or ammunition"
"1000278","Sports equipment retail","1004","Park vehicles in a controlled parking zone (if your premises is located in a controlled parking zone)"
"1000281","Musical instrument retail and repair","1002","Use CCTV systems"
"1000281","Musical instrument retail and repair","1000","Play background music in your premises"
"1000282","Toys, games and collectables retail","46","Store and sell fireworks"
"1000282","Toys, games and collectables retail","1002","Use CCTV systems"
"1000283","Video, DVD and computer game rental","241","Put an advertising board on the pavement or verge"
"1000285","Pets and pet supplies retail","1149","Keep or release live fish"
"1000285","Pets and pet supplies retail","1110","Use premises as a cinema"
"1000285","Pets and pet supplies retail","84","Import fish or shellfish"
"1000286","Party supplies hire","239","Open a large shop on Sundays"
"1000286","Party supplies hire","1002","Use CCTV systems"
"1000288","Art and craft retail","1002","Use CCTV systems"
"1000289","Art and craft supplies retail","241","Put an advertising board on the pavement or verge"
"1000290","Antiques retail","232","Deal in secondhand goods"
"1000290","Antiques retail","1004","Park vehicles in a controlled parking zone (if your premises is located in a controlled parking zone)"
"1000291","Antiques repair and restoration","239","Open a large shop on Sundays"
"1000299","Travel agency services","15","Sell flights or holidays"
"1000300","Tour operator services","1166","Carry out diving or salvage operations at a protected wreck site"
"1000300","Tour operator services","1072","Use the Olympic Brand"
"1000300","Tour operator services","401","Holding indoor or outdoor events where an entrance fee is payable"
"1000313","Accountancy","1001","Process personal information about any individuals including customers, employees etc"
"1000316","Consumer credit broking","1025","Operate a business subject to money laundering requirements"
"1000316","Consumer credit broking","1001","Process personal information about any individuals including customers, employees etc"
"1000317","Life insurance broking","266","Make copies of newspaper cuttings for business use"
"1000317","Life insurance broking","1003","Offer credit to your customers"
"1000320","Asset management","1002","Use CCTV systems"
"1000322","Currency exchange","1002","Use CCTV systems"
"1000324","Financial consultancy","1002","Use CCTV systems"
"1000331","Bailiff services","39","Collect debt"
"1000335","Health and safety consultancy","266","Make copies of newspaper cuttings for business use"
"1000335","Health and safety consultancy","188","Make copies of extracts from books, magazines or journals for business use"
"1000336","Trade and export consultancy","266","Make copies of newspaper cuttings for business use"
"1000338","Estate agency services","1025","Operate a business subject to money laundering requirements"
"1000342","Cleaning services","1061","Process, store or dispose of dangerous or harmful substances"
"1000343","Property development","1167","Connect marina or mooring to an inland waterway"
"1000343","Property development","1001","Process personal information about any individuals including customers, employees etc"
"1000344","Letting of own property","241","Put an advertising board on the pavement or verge"
"1000344","Letting of own property","1021","Operate as a landlord"
"1000344","Letting of own property","1020","Provide tourist services - e.g. accommodation"
"1000346","Advertising agencies","188","Make copies of extracts from books, magazines or journals for business use"
"1000348","Direct marketing services","188","Make copies of extracts from books, magazines or journals for business use"
"1000349","Market research services","1072","Use the Olympic Brand"
"1000349","Market research services","188","Make copies of extracts from books, magazines or journals for business use"
"1000352","Recruitment agencies and personnel supply","241","Put an advertising board on the pavement or verge"
"1000352","Recruitment agencies and personnel supply","1001","Process personal information about any individuals including customers, employees etc"
"1000355","Vending machine supply and servicing","1002","Use CCTV systems"
"1000358","Auctioneering services","232","Deal in secondhand goods"
"1000359","Event organisation and management","1072","Use the Olympic Brand"
"1000360","Scientific research and development","1110","Use premises as a cinema"
"1000360","Scientific research and development","359","Practise as a medical laboratory technician"
"1000360","Scientific research and development","220","Keep non-native animals, fish, or plants, or release them into the wild."
"1000360","Scientific research and development","214","Keep or use radioactive material - eg for experiments, tests or measurements"
"1000362","Waste collection","40","Discharge trade effluent"
"1000363","Waste treatment and disposal","1045","Produce, store or dispose of ozone-depleting substances"
"1000364","Non-metal waste and scrap recycling","215","Accumulate or dispose of radioactive wastes"
"1000365","Metal waste and scrap recycling","237","Undertake activities that cause solvent emissions - eg using paint, thinners, cleaning fluids etc"
"1000365","Metal waste and scrap recycling","215","Accumulate or dispose of radioactive wastes"
"1000365","Metal waste and scrap recycling","194","Operate a large industrial site"
"1000366","Environmental consultancy","1072","Use the Olympic Brand"
"1000366","Environmental consultancy","1001","Process personal information about any individuals including customers, employees etc"
"1000369","Software development and publishing","1072","Use the Olympic Brand"
"1000372","IT consultancy","1172","Make copies of a musical work onto any recorded media, eg CDs, DVDs or karaoke products"
"1000374","Internet service provision","1001","Process personal information about any individuals including customers, employees etc"
"1000377","Internet publishing and broadcasting","188","Make copies of extracts from books, magazines or journals for business use"
"1000378","Internet consultancy","1072","Use the Olympic Brand"
"1000378","Internet consultancy","99","Use music for broadcast or download, including TV or Radio programs, online, in toys, ringtones, computer games, etc. "
"1000384","Telecommunications consultancy","394","Use a piece of artwork in a book, magazine, website, advertisement, or on a greeting card or textile"
"1000384","Telecommunications consultancy","1001","Process personal information about any individuals including customers, employees etc"
"1000393","Film production","1172","Make copies of a musical work onto any recorded media, eg CDs, DVDs or karaoke products"
"1000393","Film production","1110","Use premises as a cinema"
"1000393","Film production","1081","Store, process, use or dispose of celluloid film"
"1000393","Film production","242","Use a premises for a theatrical performance"
"1000397","Music recording studio services","1171","Use copyright music online or on mobile technology"
"1000398","Music production","1172","Make copies of a musical work onto any recorded media, eg CDs, DVDs or karaoke products"
"1000401","Television broadcasting","1172","Make copies of a musical work onto any recorded media, eg CDs, DVDs or karaoke products"
"1000401","Television broadcasting","1171","Use copyright music online or on mobile technology"
"1000401","Television broadcasting","252","Provide commercial television services"
"1000406","Magazine publishing","40","Discharge trade effluent"
"1000410","Hotels","1110","Use premises as a cinema"
"1000410","Hotels","253","Use or provide for use a television or other device to receive or record broadcast programmes"
"1000412","Camping sites","253","Use or provide for use a television or other device to receive or record broadcast programmes"
"1000412","Camping sites","31","Exhibit films, videos or DVDs"
"1000418","Licensed restaurants","1091","Distribute free printed material"
"1000418","Licensed restaurants","337","Employ young people aged 13 - 16"
"1000418","Licensed restaurants","1058","Hold an ad hoc event"
"1000419","Unlicensed restaurants","240","Put tables or chairs on the pavement"
"1000419","Unlicensed restaurants","8","Supply or operate gaming machines"
"1000420","Take-away food shops","241","Put an advertising board on the pavement or verge"
"1000422","Canteens","1002","Use CCTV systems"
"1000003","Arable farming","337","Employ young people aged 13 - 16"
"1000003","Arable farming","5","Remove water from a watercourse or an underground water reserve"
"1000004","Arable farming support services","337","Employ young people aged 13 - 16"
"1000004","Arable farming support services","1060","Advertise, sell, supply, store or use pesticides "
"1000004","Arable farming support services","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1000005","Cattle farming","1142","Work affecting a river or watercourse"
"1000005","Cattle farming","61","Keep cattle"
"1000005","Cattle farming","1002","Use CCTV systems"
"1000006","Sheep and goat farming","337","Employ young people aged 13 - 16"
"1000006","Sheep and goat farming","251","Fell trees"
"1000006","Sheep and goat farming","195","Discharge rain water, cooling water or treated liquid effluent directly to controlled waters"
"1000010","Other animal farming","1140","Dispense petrol"
"1000010","Other animal farming","1118","Goat herding"
"1000010","Other animal farming","281","Use an on-farm incinerator"
"1000011","Animal farming support services","1122","Operate an artificial insemination centre"
"1000011","Animal farming support services","1116","Undertake activities in a bird flu affected zone"
"1000011","Animal farming support services","1111","Keep livestock"
"1000011","Animal farming support services","1002","Use CCTV systems"
"1000014","Logging","1026","Burn heather and grass"
"1000017","Fish farming","1110","Use premises as a cinema"
"1000017","Fish farming","220","Keep non-native animals, fish, or plants, or release them into the wild."
"1000021","Mining and quarrying","1143","Operate a mine or quarry"
"1000021","Mining and quarrying","35","Process, store or dispose of dangerous or harmful substances"
"1000022","Oil and gas extraction","215","Accumulate or dispose of radioactive wastes"
"1000025","Gas supply","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1000026","Water supply","1057","Construct, maintain or use cooling towers or evaporative condensers"
"1000026","Water supply","1047","Distribute or supply water"
"1000029","Residential building construction","1148","Construct new roads or extend existing roads"
"1000029","Residential building construction","1106","Undertake works on the coast line"
"1000030","Commercial building construction","1158","Deposit and/or use explosives"
"1000030","Commercial building construction","1153","Remove material from a river bed"
"1000030","Commercial building construction","1148","Construct new roads or extend existing roads"
"1000030","Commercial building construction","1127","Carry out engineering or construction works in or near inland waters or wetlands"
"1000030","Commercial building construction","1109","Operate as a certifier of design or construction"
"1000030","Commercial building construction","195","Discharge rain water, cooling water or treated liquid effluent directly to controlled waters"
"1000031","Civil engineering","1148","Construct new roads or extend existing roads"
"1000031","Civil engineering","263","Carry out any work involving asbestos"
"1000031","Civil engineering","241","Put an advertising board on the pavement or verge"
"1000031","Civil engineering","159","Deposit articles or substances in the sea or tidal waters"
"1000031","Civil engineering","70","Operate a goods vehicle"
"1000031","Civil engineering","1057","Construct, maintain or use cooling towers or evaporative condensers"
"1000033","Building site preparation","274","Place builders skips on a public road"
"1000033","Building site preparation","228","Erect scaffolding or hoardings"
"1000034","Brick laying","257","Transport, store, process, recycle, export or dispose of waste material"
"1000034","Brick laying","240","Put tables or chairs on the pavement"
"1000034","Brick laying","228","Erect scaffolding or hoardings"
"1000036","Electrical installation and repair","241","Put an advertising board on the pavement or verge"
"1000037","Insulation installation","1064","Carry out construction or building work"
"1000038","Plumbing","274","Place builders skips on a public road"
"1000038","Plumbing","1003","Offer credit to your customers"
"1000038","Plumbing","1001","Process personal information about any individuals including customers, employees etc"
"1000039","Damp proofing","1064","Carry out construction or building work"
"1000041","Shop fitting","264","Install or work on gas appliances or fittings"
"1000041","Shop fitting","257","Transport, store, process, recycle, export or dispose of waste material"
"1000041","Shop fitting","228","Erect scaffolding or hoardings"
"1000042","Glazing","263","Carry out any work involving asbestos"
"1000042","Glazing","228","Erect scaffolding or hoardings"
"1000042","Glazing","1002","Use CCTV systems"
"1000043","Floor covering","237","Undertake activities that cause solvent emissions - eg using paint, thinners, cleaning fluids etc"
"1000043","Floor covering","1055","Carry out work, or place materials, apparatus or obstacles in the road or on a pavement"
"1000043","Floor covering","1003","Offer credit to your customers"
"1000044","Painting and decorating","1055","Carry out work, or place materials, apparatus or obstacles in the road or on a pavement"
"1000044","Painting and decorating","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1000045","Building exterior cleaning","228","Erect scaffolding or hoardings"
"1000047","Construction equipment hire with operator","1159","Carry out dredging activities"
"1000047","Construction equipment hire with operator","1158","Deposit and/or use explosives"
"1000047","Construction equipment hire with operator","81","Lease or hire out goods"
"1000047","Construction equipment hire with operator","1054","Operate a public weighbridge"
"1000051","Urban planning services","1064","Carry out construction or building work"
"1000052","Quantity surveying","1148","Construct new roads or extend existing roads"
"1000053","Construction consultancy","1168","Produce energy performance certificates"
"1000053","Construction consultancy","1098","Fix a beam, cable, pipe or rail across a highway"
"1000053","Construction consultancy","1021","Operate as a landlord"
"1000056","Animal food manufacturing","35","Process, store or dispose of dangerous or harmful substances"
"1000057","Grain and vegetable oil processing","1002","Use CCTV systems"
"1000058","Fruit and vegetable processing","273","Carry out processes causing emissions to air"
"1000058","Fruit and vegetable processing","41","Pollute controlled waters with substances including waste sheep dip, pesticides, chemicals etc"
"1000058","Fruit and vegetable processing","35","Process, store or dispose of dangerous or harmful substances"
"1000059","Dairy product manufacturing","283","Run a dairy production holding"
"1000059","Dairy product manufacturing","70","Operate a goods vehicle"
"1000059","Dairy product manufacturing","40","Discharge trade effluent"
"1000059","Dairy product manufacturing","1002","Use CCTV systems"
"1000060","Meat product manufacturing","1","Process, handle or store meat or meat products"
"1000061","Seafood processing","1062","Monitor, assess or report on energy consumption or levels of emissions and pollution"
"1000062","Bakery products manufacturing","273","Carry out processes causing emissions to air"
"1000062","Bakery products manufacturing","70","Operate a goods vehicle"
"1000062","Bakery products manufacturing","1002","Use CCTV systems"
"1000063","Sugar and confectionery manufacturing","1175","Manufacture or import specialist nutrition products"
"1000063","Sugar and confectionery manufacturing","70","Operate a goods vehicle"
"1000063","Sugar and confectionery manufacturing","35","Process, store or dispose of dangerous or harmful substances"
"1000064","Other food manufacturing","1002","Use CCTV systems"
"1000065","Health food and supplements manufacturing","1175","Manufacture or import specialist nutrition products"
"1000065","Health food and supplements manufacturing","273","Carry out processes causing emissions to air"
"1000065","Health food and supplements manufacturing","40","Discharge trade effluent"
"1000065","Health food and supplements manufacturing","1061","Process, store or dispose of dangerous or harmful substances"
"1000066","Alcoholic drink manufacturing","1175","Manufacture or import specialist nutrition products"
"1000071","Children's clothing and baby goods manufacturing","237","Undertake activities that cause solvent emissions - eg using paint, thinners, cleaning fluids etc"
"1000071","Children's clothing and baby goods manufacturing","195","Discharge rain water, cooling water or treated liquid effluent directly to controlled waters"
"1000071","Children's clothing and baby goods manufacturing","40","Discharge trade effluent"
"1000072","Footwear manufacturing","237","Undertake activities that cause solvent emissions - eg using paint, thinners, cleaning fluids etc"
"1000073","Leather products manufacturing","194","Operate a large industrial site"
"1000076","Furniture manufacturing","237","Undertake activities that cause solvent emissions - eg using paint, thinners, cleaning fluids etc"
"1000082","Printing support activities","1072","Use the Olympic Brand"
"1000082","Printing support activities","70","Operate a goods vehicle"
"1000084","Petrol manufacturing","273","Carry out processes causing emissions to air"
"1000084","Petrol manufacturing","1061","Process, store or dispose of dangerous or harmful substances"
"1000084","Petrol manufacturing","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1000085","Agrochemicals manufacturing","40","Discharge trade effluent"
"1000085","Agrochemicals manufacturing","1002","Use CCTV systems"
"1000087","Rubber products manufacturing","195","Discharge rain water, cooling water or treated liquid effluent directly to controlled waters"
"1000087","Rubber products manufacturing","194","Operate a large industrial site"
"1000087","Rubber products manufacturing","1045","Produce, store or dispose of ozone-depleting substances"
"1000089","Pharmaceuticals and medicine manufacturing","109","Manufacture, supply or market medicinal products"
"1000089","Pharmaceuticals and medicine manufacturing","1045","Produce, store or dispose of ozone-depleting substances"
"1000089","Pharmaceuticals and medicine manufacturing","1002","Use CCTV systems"
"1000090","Biopharmaceuticals manufacturing","188","Make copies of extracts from books, magazines or journals for business use"
"1000091","Beauty and toilet products manufacturing","1072","Use the Olympic Brand"
"1000091","Beauty and toilet products manufacturing","41","Pollute controlled waters with substances including waste sheep dip, pesticides, chemicals etc"
"1000091","Beauty and toilet products manufacturing","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1000092","Cleaning compound manufacturing","237","Undertake activities that cause solvent emissions - eg using paint, thinners, cleaning fluids etc"
"1000092","Cleaning compound manufacturing","123","Store and supply agrochemicals and other chemical products"
"1000092","Cleaning compound manufacturing","41","Pollute controlled waters with substances including waste sheep dip, pesticides, chemicals etc"
"1000092","Cleaning compound manufacturing","1057","Construct, maintain or use cooling towers or evaporative condensers"
"1000096","Concrete and cement products manufacturing","194","Operate a large industrial site"
"1000096","Concrete and cement products manufacturing","1061","Process, store or dispose of dangerous or harmful substances"
"1000096","Concrete and cement products manufacturing","1028","Posess or use equipment which may contain Polychlorinated Biphenyls (PCBs)"
"1000097","Stone and slate products manufacturing","70","Operate a goods vehicle"
"1000098","Builders joinery manufacturing","195","Discharge rain water, cooling water or treated liquid effluent directly to controlled waters"
"1000098","Builders joinery manufacturing","41","Pollute controlled waters with substances including waste sheep dip, pesticides, chemicals etc"
"1000100","Metal manufacturing","70","Operate a goods vehicle"
"1000101","Metal treatment and coating","40","Discharge trade effluent"
"1000102","Metal product manufacturing","195","Discharge rain water, cooling water or treated liquid effluent directly to controlled waters"
"1000102","Metal product manufacturing","1057","Construct, maintain or use cooling towers or evaporative condensers"
"1000104","Engine and turbine manufacturing","273","Carry out processes causing emissions to air"
"1000104","Engine and turbine manufacturing","1002","Use CCTV systems"
"1000107","Construction machinery manufacturing","1061","Process, store or dispose of dangerous or harmful substances"
"1000109","Industrial machinery manufacturing","1062","Monitor, assess or report on energy consumption or levels of emissions and pollution"
"1000110","Other machinery manufacturing","194","Operate a large industrial site"
